messageId,T1,T2,T2_5,T3,T4,RTT_Total,MQTT_to_WebSocket,WebSocket_Processing,Django_Processing,Django_to_Frontend,Frontend_to_MQTT
msg_1755148481298_ngajhu7s4,1755148481298,1755148480751,1755148480809,1755148481626,1755148481849,551,-547,58,58,817,223
msg_1755148483811_ll3ff0fs4,1755148483811,1755148483268,1755148483397,1755148484213,1755148484434,623,-543,129,129,816,221
msg_1755148486320_woxfpv1c4,1755148486320,1755148485774,1755148485877,1755148486694,1755148486917,597,-546,103,103,817,223
msg_1755148488830_ho5naqg5a,1755148488830,1755148488287,1755148488392,1755148489208,1755148489427,597,-543,105,105,816,219
msg_1755148491342_mileplugp,1755148491343,1755148490796,1755148490945,1755148491762,1755148491981,638,-547,149,149,817,219
msg_1755148493847_32l607zi9,1755148493847,1755148493303,1755148493390,1755148494207,1755148494427,580,-544,87,87,817,220
msg_1755148496359_qrhv6fw12,1755148496359,1755148495816,1755148495884,1755148496700,1755148496926,567,-543,68,68,816,226
msg_1755148498873_rmytnpp6x,1755148498873,1755148498325,1755148498460,1755148499277,1755148499497,624,-548,135,135,817,220
msg_1755148501376_eyipzdwz0,1755148501376,1755148500831,1755148500892,1755148501708,1755148501929,553,-545,61,61,816,221
msg_1755148503877_gkyjkaxel,1755148503877,1755148503338,1755148503491,1755148504308,1755148504529,652,-539,153,153,817,221
msg_1755148506378_83i5xhoe0,1755148506378,1755148505834,1755148505918,1755148506734,1755148506958,580,-544,84,84,816,224
msg_1755148508890_phao8e2ma,1755148508890,1755148508347,1755148508498,1755148509314,1755148509536,646,-543,151,151,816,222
msg_1755148511395_a1z79shpq,1755148511395,1755148510849,1755148510902,1755148511718,1755148511941,546,-546,53,53,816,223
msg_1755148513905_or9cfjcdm,1755148513905,1755148513362,1755148513513,1755148514330,1755148514550,645,-543,151,151,817,220
msg_1755148516408_a4ul26np1,1755148516408,1755148515864,1755148515920,1755148516736,1755148516958,550,-544,56,56,816,222
msg_1755148518912_1qq2h5r11,1755148518912,1755148518364,1755148518501,1755148519317,1755148519543,631,-548,137,137,816,226
msg_1755148521425_c3tzvtx8z,1755148521425,1755148520878,1755148520933,1755148521750,1755148521971,546,-547,55,55,817,221
msg_1755148523928_tewxyduzj,1755148523928,1755148523384,1755148523502,1755148524320,1755148524588,660,-544,118,118,818,268
msg_1755148526431_n5hrywavc,1755148526431,1755148525889,1755148525946,1755148526762,1755148526984,553,-542,57,57,816,222
msg_1755148528948_d58s6p90v,1755148528948,1755148528405,1755148528473,1755148529290,1755148529513,565,-543,68,68,817,223
msg_1755148531455_jo8bqbdul,1755148531455,1755148530911,1755148530964,1755148531780,1755148532000,545,-544,53,53,816,220
msg_1755148533957_mgnmajckj,1755148533957,1755148533413,1755148533490,1755148534306,1755148534527,570,-544,77,77,816,221
msg_1755148536466_im57hco6h,1755148536466,1755148535918,1755148535975,1755148536792,1755148537009,543,-548,57,57,817,217
msg_1755148538975_ilsulbtbu,1755148538975,1755148538429,1755148538591,1755148539408,1755148539626,651,-546,162,162,817,218
msg_1755148541477_zdruph6mt,1755148541477,1755148540934,1755148540992,1755148541809,1755148542029,552,-543,58,58,817,220
msg_1755148543986_oyndcbi9l,1755148543986,1755148543442,1755148543600,1755148544416,1755148544634,648,-544,158,158,816,218
msg_1755148546496_ik85q1qre,1755148546496,1755148545945,1755148546059,1755148546875,1755148547099,603,-551,114,114,816,224
msg_1755148549001_qgeev0z6w,1755148549001,1755148548463,1755148548595,1755148549411,1755148549634,633,-538,132,132,816,223
msg_1755148551509_6ixbm093b,1755148551509,1755148550967,1755148551079,1755148551895,1755148552115,606,-542,112,112,816,220
msg_1755148554012_xvjm4c0wi,1755148554012,1755148553468,1755148553759,1755148554575,1755148554793,781,-544,291,291,816,218
msg_1755148556516_i5itjpkgl,1755148556516,1755148555972,1755148556064,1755148556880,1755148557098,582,-544,92,92,816,218
msg_1755148559022_vf7e91v9p,1755148559022,1755148558475,1755148558591,1755148559408,1755148559628,606,-547,116,116,817,220
msg_1755148561531_cc42s3qiq,1755148561531,1755148560990,1755148561055,1755148561871,1755148562095,564,-541,65,65,816,224
msg_1755148564034_ac6ayx3di,1755148564034,1755148563489,1755148563586,1755148564403,1755148564627,593,-545,97,97,817,224
msg_1755148566548_3v6qghc53,1755148566548,1755148566002,1755148566059,1755148566875,1755148567098,550,-546,57,57,816,223
msg_1755148569054_51og1xpnq,1755148569054,1755148568508,1755148568593,1755148569409,1755148569631,577,-546,85,85,816,222
msg_1755148571566_zth7mdkcf,1755148571566,1755148571023,1755148571102,1755148571919,1755148572138,572,-543,79,79,817,219
msg_1755148574072_xoa72g4cd,1755148574072,1755148573531,1755148573662,1755148574478,1755148574703,631,-541,131,131,816,225
msg_1755148576586_9gq23yufk,1755148576586,1755148576042,1755148576105,1755148576922,1755148577144,558,-544,63,63,817,222
msg_1755148579093_9eyy9pu96,1755148579093,1755148578547,1755148578694,1755148579510,1755148579733,640,-546,147,147,816,223
msg_1755148581594_nru34q27a,1755148581594,1755148581045,1755148581103,1755148581919,1755148582140,546,-549,58,58,816,221
msg_1755148584097_yj85he70a,1755148584097,1755148583553,1755148583688,1755148584505,1755148584726,629,-544,135,135,817,221
msg_1755148586599_920us3xef,1755148586599,1755148586053,1755148586118,1755148586934,1755148587152,553,-546,65,65,816,218
msg_1755148589114_g6pcpl5nx,1755148589114,1755148588570,1755148588635,1755148589452,1755148589667,553,-544,65,65,817,215
msg_1755148591617_uipw0frfs,1755148591617,1755148591072,1755148591126,1755148591942,1755148592161,544,-545,54,54,816,219
