messageId,T1,T2,T2_5,T3,T4,RTT_Total
msg_1755334743007_b2bs69pam,1755334743007,1755334741470,1755334741541,1755334743340,1755334743557,550
msg_1755334745511_vd5cjsvx8,1755334745511,1755334743976,1755334744095,1755334745894,1755334746119,608
msg_1755334748020_jvjefpoqi,1755334748020,1755334746483,1755334746548,1755334748347,1755334748568,548
msg_1755334750529_v2z7u3e2a,1755334750529,1755334748995,1755334749396,1755334751195,1755334751418,889
msg_1755334753038_ym75b8y0z,1755334753038,1755334751501,1755334751577,1755334753375,1755334753594,556
msg_1755334755542_wup04cp89,1755334755542,1755334754007,1755334754109,1755334755907,1755334756127,585
msg_1755334758044_531p9spvx,1755334758044,1755334756509,1755334756586,1755334758384,1755334758603,559
msg_1755334760554_m2blrkqri,1755334760554,1755334759015,1755334759083,1755334760884,1755334761102,548
msg_1755334763056_2sd7lqfux,1755334763056,1755334761521,1755334761579,1755334763377,1755334763601,545
msg_1755334765559_7c0ci7f0l,1755334765559,1755334764021,1755334764096,1755334765895,1755334766114,555
msg_1755334768067_kikgq7iyw,1755334768067,1755334766526,1755334766582,1755334768381,1755334768606,539
msg_1755334770580_ixniogugt,1755334770580,1755334769045,1755334769181,1755334770980,1755334771201,621
msg_1755334773084_ijqrdo3y1,1755334773084,1755334771545,1755334771685,1755334773484,1755334773701,617
msg_1755334775586_l6d1pn3cv,1755334775586,1755334774047,1755334774193,1755334775992,1755334776215,629
msg_1755334778088_wquj37bux,1755334778088,1755334776553,1755334776682,1755334778482,1755334778701,613
msg_1755334780591_xrdc26as8,1755334780591,1755334779054,1755334779191,1755334780989,1755334781208,617
msg_1755334783103_a7o71giis,1755334783103,1755334781569,1755334781624,1755334783423,1755334783647,544
msg_1755334785607_v78qx581d,1755334785607,1755334784072,1755334784278,1755334786077,1755334786294,687
msg_1755334788122_ha5rde755,1755334788122,1755334786663,1755334786728,1755334788526,1755334788745,623
msg_1755334790633_v3xrepj8i,1755334790633,1755334789096,1755334789193,1755334790991,1755334791215,582
msg_1755334793145_2s06tj3fk,1755334793145,1755334791610,1755334791673,1755334793472,1755334793692,547
msg_1755334795657_9l09jaq8z,1755334795657,1755334794119,1755334794281,1755334796080,1755334796299,642
msg_1755334798168_guuojsr2t,1755334798168,1755334796628,1755334796686,1755334798484,1755334798705,537
msg_1755334800672_yq9dmyu3v,1755334800672,1755334799134,1755334799192,1755334801001,1755334801224,552
msg_1755334803182_llf5ijjq0,1755334803182,1755334801699,1755334801827,1755334803626,1755334803849,667
msg_1755334805683_h7p032goa,1755334805683,1755334804144,1755334804294,1755334806092,1755334806312,629
msg_1755334808197_iqn35t293,1755334808197,1755334806663,1755334806724,1755334808523,1755334808741,544
